province,worker_count
อุดรธานี,35575
นครราชสีมา,19551
เชียงราย,13804
ขอนแก่น,12589
สกลนคร,11456
นครพนม,11371
บุรีรัมย์,11293
ชัยภูมิ,11000
หนองคาย,9494
หนองบัวลำภู,8615
อุบลราชธานี,7782
ลำปาง,5496
สุรินทร์,5440
มหาสารคาม,5430
สุโขทัย,4366
กรุงเทพมหานคร,4364
เชียงใหม่,4158
บึงกาฬ,3741
ตาก,3623
ศรีสะเกษ,3338
กาฬสินธุ์,3312
ร้อยเอ็ด,3121
ปัตตานี,2821
กำแพงเพชร,2774
พะเยา,2629
เพชรบูรณ์,2404
ชลบุรี,2333
พิษณุโลก,2229
น่าน,2172
สงขลา,2140
สตูล,2001
เลย,1898
นครสวรรค์,1647
สมุทรปราการ,1531
อุตรดิตถ์,1467
ระยอง,1416
ปทุมธานี,1367
ยโสธร,1307
มุกดาหาร,1172
ลำพูน,1153
สระแก้ว,1109
อำนาจเจริญ,1085
แพร่,1019
นนทบุรี,953
พิจิตร,914
พระนครศรีอยุธยา,777
ฉะเชิงเทรา,769
ยะลา,734
นราธิวาส,651
ตรัง,649
ปราจีนบุรี,622
กาญจนบุรี,584
ลพบุรี,548
นครปฐม,535
สระบุรี,525
นครศรีธรรมราช,490
สุพรรณบุรี,459
สมุทรสาคร,416
ราชบุรี,373
อุทัยธานี,360
แม่ฮ่องสอน,345
ภูเก็ต,336
ประจวบคีรีขันธ์,336
ชัยนาท,301
จันทบุรี,239
อ่างทอง,239
สุราษฎร์ธานี,231
พัทลุง,207
เพชรบุรี,188
สิงห์บุรี,177
ชุมพร,167
นครนายก,166
กระบี่,121
ตราด,116
พังงา,111
สมุทรสงคราม,73
ระนอง,72
