travel_method,worker_count
บริษัทจัดส่ง,99844
กรมจัดส่ง,47311
RE-ENTRY,40100
VISA RE-ENTRY,37807
เดินทางด้วยตนเอง,19368
นายจ้างพาลูกจ้างไปทำงานในต่างประเทศ,3113
บริษัทจัดหางานคนประจำเรือ,1830
นายจ้างส่งลูกจ้างไปฝึกงานในต่างประเทศ,1004
