education_level,worker_count
มัธยมศึกษาตอนต้น (ม.3),77450
มัธยมศึกษาตอนปลาย (ม.6),70420
ประกาศนียบัตรวิชาชีพชั้นสูง (ปวส.),28495
ประถมศึกษา (ป.6),27683
ปริญญาตรี,21201
ประกาศนียบัตรวิชาชีพ (ปวช.),15889
ไม่ระบุวุฒิการศึกษา,5681
ไม่ได้รับการศึกษา หรือต่ำกว่าประถมศึกษา,2457
ปริญญาโท,559
อนุปริญญา,214
