destination_country,province,worker_count
กาตาร์,ภูเก็ต,336
กาตาร์,ประจวบคีรีขันธ์,335
กาตาร์,ชัยนาท,301
กาตาร์,จันทบุรี,239
กาตาร์,อ่างทอง,239
กาตาร์,สุราษฎร์ธานี,231
กาตาร์,พัทลุง,207
กาตาร์,เพชรบุรี,186
กาตาร์,สิงห์บุรี,177
กาตาร์,ชุมพร,167
กาตาร์,นครนายก,166
กาตาร์,กระบี่,121
กาตาร์,ตราด,116
กาตาร์,พังงา,111
กาตาร์,สมุทรสงคราม,73
กาตาร์,ระนอง,72
ไอร์แลนด์,นครราชสีมา,65
ไอร์แลนด์,อุดรธานี,52
ไอร์แลนด์,ลำปาง,46
ไอร์แลนด์,บุรีรัมย์,39
ไอร์แลนด์,ขอนแก่น,37
ไอร์แลนด์,ชัยภูมิ,37
ไอร์แลนด์,กรุงเทพมหานคร,37
ไอร์แลนด์,สุโขทัย,34
ไอร์แลนด์,ตาก,30
ไอร์แลนด์,พิจิตร,28
ไอร์แลนด์,กำแพงเพชร,24
ไอร์แลนด์,สกลนคร,23
ไอร์แลนด์,หนองบัวลำภู,21
ไอร์แลนด์,นครพนม,18
ไอร์แลนด์,หนองคาย,17
ไอร์แลนด์,อุบลราชธานี,17
ไอร์แลนด์,เชียงราย,15
ไอร์แลนด์,สุรินทร์,13
ไอร์แลนด์,ศรีสะเกษ,13
ไอร์แลนด์,กาฬสินธุ์,13
ไอร์แลนด์,พิษณุโลก,13
ไอร์แลนด์,มหาสารคาม,13
ไอร์แลนด์,ยโสธร,13
ไอร์แลนด์,ระยอง,12
ไอร์แลนด์,เพชรบูรณ์,12
ไอร์แลนด์,เชียงใหม่,10
ไอร์แลนด์,ร้อยเอ็ด,9
ไอร์แลนด์,นครสวรรค์,9
ไอร์แลนด์,อุตรดิตถ์,8
ไอร์แลนด์,ชลบุรี,8
ไอร์แลนด์,อำนาจเจริญ,7
ไอร์แลนด์,แพร่,6
ไอร์แลนด์,บึงกาฬ,6
ไอร์แลนด์,ปทุมธานี,6
ไอร์แลนด์,สมุทรปราการ,6
ไอร์แลนด์,พะเยา,6
ไอร์แลนด์,นนทบุรี,5
ไอร์แลนด์,กาญจนบุรี,5
ไอร์แลนด์,เลย,5
ไอร์แลนด์,น่าน,5
ไอร์แลนด์,อ่างทอง,5
ไอร์แลนด์,ภูเก็ต,5
ไอร์แลนด์,สระแก้ว,4
ไอร์แลนด์,ฉะเชิงเทรา,4
ไอร์แลนด์,ปราจีนบุรี,3
ไอร์แลนด์,ชัยนาท,3
ไอร์แลนด์,ราชบุรี,3
ไอร์แลนด์,ลพบุรี,3
ไอร์แลนด์,มุกดาหาร,3
ไอร์แลนด์,อุทัยธานี,3
ไอร์แลนด์,สุพรรณบุรี,3
ไอร์แลนด์,พระนครศรีอยุธยา,2
ไอร์แลนด์,สระบุรี,2
ไอร์แลนด์,ตราด,2
ไอร์แลนด์,ประจวบคีรีขันธ์,2
ไอร์แลนด์,จันทบุรี,2
ไอร์แลนด์,นครนายก,2
ไอร์แลนด์,ตรัง,2
ไอร์แลนด์,สิงห์บุรี,2
ไอร์แลนด์,สงขลา,1
ไอร์แลนด์,นครปฐม,1
ไอร์แลนด์,ระนอง,1
ไอร์แลนด์,แม่ฮ่องสอน,1
ไอร์แลนด์,นครศรีธรรมราช,1
ไอร์แลนด์,พังงา,1
ไอร์แลนด์,เพชรบุรี,1
ไอร์แลนด์,สมุทรสาคร,1
ไอร์แลนด์,อุดรธานี,51
ไอร์แลนด์,ขอนแก่น,47
ไอร์แลนด์,นครราชสีมา,40
ไอร์แลนด์,กรุงเทพมหานคร,32
ไอร์แลนด์,ลำปาง,31
ไอร์แลนด์,สกลนคร,26
ไอร์แลนด์,ตาก,26
ไอร์แลนด์,หนองบัวลำภู,25
ไอร์แลนด์,อุบลราชธานี,24
ไอร์แลนด์,ชัยภูมิ,22
ไอร์แลนด์,บุรีรัมย์,21
ไอร์แลนด์,สุโขทัย,20
ไอร์แลนด์,ศรีสะเกษ,19
ไอร์แลนด์,หนองคาย,18
ไอร์แลนด์,ระยอง,17
ไอร์แลนด์,กำแพงเพชร,17
ไอร์แลนด์,มหาสารคาม,16
ไอร์แลนด์,นครพนม,16
ไอร์แลนด์,นครสวรรค์,14
ไอร์แลนด์,พิจิตร,12
ไอร์แลนด์,มุกดาหาร,12
ไอร์แลนด์,พิษณุโลก,12
ไอร์แลนด์,ชลบุรี,11
ไอร์แลนด์,สุรินทร์,11
ไอร์แลนด์,บึงกาฬ,9
ไอร์แลนด์,ปทุมธานี,9
ไอร์แลนด์,ร้อยเอ็ด,8
ไอร์แลนด์,ยโสธร,8
ไอร์แลนด์,สมุทรปราการ,8
ไอร์แลนด์,กาฬสินธุ์,8
ไอร์แลนด์,เลย,7
ไอร์แลนด์,นนทบุรี,7
ไอร์แลนด์,สงขลา,7
ไอร์แลนด์,เพชรบูรณ์,6
ไอร์แลนด์,ชัยนาท,6
ไอร์แลนด์,พะเยา,5
ไอร์แลนด์,นครศรีธรรมราช,5
ไอร์แลนด์,ตรัง,4
ไอร์แลนด์,อุตรดิตถ์,4
ไอร์แลนด์,สุพรรณบุรี,4
ไอร์แลนด์,กาญจนบุรี,4
ไอร์แลนด์,เชียงใหม่,4
ไอร์แลนด์,ปราจีนบุรี,4
ไอร์แลนด์,ฉะเชิงเทรา,3
