embassy_labour_office,worker_count
สนร.เกาสง หรือ สนร.ไทเป,93142
สนร.อิสราเอล,51552
สนร.เกาหลีใต้,30668
ดูแลโดยสถานเอกอัครราชทูตไทยในต่างประเทศ,25794
สนร.ญี่ปุ่น,22171
สนร.มาเลเซีย,11837
สนร.สิงคโปร์,5475
สนร.ฮ่องกง,4051
สนร.สหรัฐอาหรับเอมิเรตส์,2673
สนร.ซาอุดิอาระเบีย,2012
สนร.บรูไน,883
